,Names,Values
700,schweitzer,3
701,trotta,2
702,fra,12
703,bataille,3
704,bouhafs,13
705,brakni,6
706,anthony,8
707,bitane,12
708,delavier,3
709,kamala,2
710,lassalle,3
711,albrecht,6
712,uniter,6
713,greensill,9
714,streeter,2
715,blanchetgravel,2
716,kernews,2
717,belanger,2
718,djebbari,6
719,rissouli,3
720,newsguard,5
721,labbe,10
722,sylvain,7
723,raimbaud,3
724,douguine,10
725,sabra,8
726,kilo,8
727,paulette,3
728,montbrial,6
729,graziani,5
730,gainsbourg,12
731,charlotte,2
732,tanguy,5
733,chelli,17
734,corre,61
735,prudhomme,5
736,thierry,38
737,kafka,4
738,guerin,2
739,rosiers,4
740,klimt,6
741,bachelot,8
742,stiegler,7
743,ruffin,51
744,uzeel,2
745,malagre,2
746,haas,8
747,gamliel,2
748,magufuli,4
749,pedstart,2
750,mauricette,9
751,booba,17
752,messiha,24
753,moisedavid,2
754,lachaud,2
755,bensouda,2
756,corcuff,8
757,zero,14
758,hondelatte,2
759,romanet,3
760,huxley,4
761,georgieva,2
762,bergoglio,5
763,boutry,8
764,neymar,9
765,lempereur,2
766,lioudko,2
767,masiero,12
768,youssoupha,4
769,deschamps,17
770,ismay,7
771,abbas,6
772,acrimed,8
773,tristan,27
774,joffrin,10
775,larsen,3
776,benhamou,2
777,carlito,2
778,dirlewanger,2
779,faucillon,2
780,benedetti,12
781,smolar,11
782,olivier,5
783,duquesne,2
784,cardoze,4
785,halioua,11
786,faurisson,4
787,professeur,5
788,samson,9
789,kersten,4
790,majed,2
791,colonna,2
792,gallou,11
793,bayrou,11
794,pelisson,2
795,kassovitz,6
796,fromet,64
797,ernotte,7
798,ivermectine,4
799,tedros,16
800,griveaux,33
801,hirsch,24
802,mireille,6
803,higinnenbier,2
804,afribo,2
805,patterson,2
806,jeanpierre,9
807,rousseau,4
808,boetsch,2
809,florian,9
810,leonarda,4
811,ortiz,2
812,aurelien,11
813,france,57
814,clinton,97
815,larosiere,4
816,patricia,14
817,bolsonaro,5
818,media,2
819,greene,4
820,pelosi,6
821,adelson,2
822,nixon,4
823,powell,26
824,dupontaignan,19
825,adelard,2
826,bachelier,2
827,leclercq,9
828,mesdames,4
829,gisele,3
830,benichou,6
831,anticovid,2
832,fischetti,7
833,trewby,6
834,eckland,2
835,ghali,12
836,droukdal,2
837,moussa,2
838,london,6
839,lopez,12
840,mazzini,2
841,metternich,2
842,beaune,4
843,chenevance,3
844,kalifat,21
845,sarfati,4
846,elleboode,2
847,verratti,2
848,sechet,2
849,bokassa,3
850,beltra,6
851,collard,21
852,attendu,7
853,reporterre,4
854,savary,5
855,koffler,6
856,kiberlain,2
857,manent,2
858,vapaspike,4
859,anasasiades,2
860,jackson,4
861,morinnahoum,2
862,cyrulnik,5
863,parrinello,2
864,neuhoff,11
865,citoyen,2
866,saintpaul,2
867,mazoyer,2
868,sintes,7
869,chartier,2
870,montchalin,2
871,porcher,4
872,thomas,12
873,ducros,7
874,almassy,3
875,salvini,19
876,mcafee,4
877,gueant,5
878,dubrulle,2
879,claverie,2
880,sahiri,3
881,lechypre,2
882,mascotto,2
883,dachez,4
884,mbappe,3
885,maxwell,14
886,alessi,5
887,valoche,7
888,seldhar,2
889,angelis,2
890,behrami,2
891,draper,2
892,cattigan,4
893,shabazz,2
894,henderson,4
895,pasierbski,2
896,liveze,3
897,dimattina,2
898,fleck,6
899,taylor,5
900,terrafirma,2
901,sinclair,7
902,sportolloni,2
903,indoor,2
904,rochebin,2
905,fischer,12
906,blanchard,4
907,zouaves,3
908,cacquerayvalmenier,5
909,streetpress,2
910,bourgeois,4
911,violletleduc,4
912,gazachvili,2
913,thucydide,2
914,maxit,4
915,duranddastes,3
916,schneider,5
917,haziza,5
918,lecur,12
919,lagarrigue,2
920,heiko,6
921,stellantis,2
922,reportnews,2
923,tissier,3
924,ikeme,15
925,palombi,3
926,aberkane,5
927,mengele,9
928,meyssan,37
929,lincoln,2
930,makhmudov,3
931,cornelis,3
932,dufourcq,2
933,fourquet,7
934,baker,11
935,churchill,5
936,rowling,2
937,audiard,4
938,modiano,4
939,kinsey,7
940,adorno,2
941,oudet,6
942,jacquemain,9
943,guediguian,2
944,juliette,7
945,soerensen,5
946,castaner,61
947,khashoggi,2
948,dorcel,11
949,rossignol,2
950,salame,19
951,puigdemont,3
952,rovira,2
953,loligarchie,2
954,slezkine,2
955,francfort,2
956,popper,29
957,nolwen,7
958,grandbesancon,2
959,azergui,9
960,retailleau,2
961,cognet,5
962,hussein,8
963,saddam,2
964,conesa,15
965,luizard,2
966,ayad,4
967,hocke,26
968,albaghdadi,6
969,capital,2
970,couriol,16
971,schaffhauser,2
972,zedong,2
973,sifaoui,12
974,gontier,6
975,arrimadas,3
976,bouteflika,21
977,rohatyn,2
978,fedorova,3
979,kaczynski,3
980,occurrence,2
981,piketty,6
982,vedovelli,2
983,ligonnes,5
984,bilbao,3
985,bailey,8
986,bellamy,4
987,pasqua,4
988,montebourg,8
989,saporta,5
990,vizorek,2
991,riester,2
992,lavernhe,5
993,breuer,2
994,osterrieth,2
995,vigneaux,4
996,renson,8
997,domenach,4
998,kotarac,13
999,alimuddin,2
1000,rozes,10
1001,vargas,2
1002,ressiguier,6
1003,lechiquier,2
1004,ghozlan,12
1005,knobel,14
1006,rigne,2
1007,saintjust,3
1008,loiseau,13
1009,letellier,9
1010,nathalie,2
1011,lancelot,29
1012,sceaux,6
1013,belloubet,11
1014,darrieussecq,2
1015,vermeren,6
1016,ferrante,7
1017,raja,5
1018,starnone,3
1019,dutheil,3
1020,ouchikh,2
1021,conversano,4
1022,moulinsbeaufort,2
1023,attouchements,2
1024,anouchka,2
1025,markovic,5
1026,beatrice,12
1027,brunolemediateur,2
1028,jallamion,2
1029,lefebvre,23
1030,bathily,7
1031,coulibaly,8
1032,lassana,21
1033,lassimouillas,2
1034,deutsch,3
1035,delahousse,3
1036,clementine,2
1037,tristesse,2
1038,moukouri,2
1039,rouxmorizot,3
1040,aviner,2
1041,mohammed,10
1042,daphnis,2
1043,brossat,5
1044,lombard,23
1045,crozier,2
1046,lebourg,8
1047,laribi,3
1048,gastambide,7
1049,cantona,2
1050,belaidi,2
1051,mondoloni,2
1052,jeanyves,4
1053,besancenot,6
1054,hovaghian,4
1055,serpouhi,6
1056,demorand,2
1057,bizeul,2
1058,stendhal,2
1059,rougemont,6
1060,novalis,4
1061,shakespeare,2
1062,kierkegaard,6
1063,enide,11
1064,aucassin,3
1065,nicolette,2
1066,lorris,2
1067,isis,14
1068,ciel,3
1069,osiris,2
1070,plutarque,2
1071,madonna,8
1072,philosophia,2
1073,joconde,3
1074,fallaci,2
1075,bernanos,2
1076,guenole,10
1077,bouthors,2
1078,horvilleur,2
1079,adrien,4
1080,moros,2
1081,gattieri,2
1082,bouygues,3
1083,deglise,2
1084,brigitte,8
1085,andreas,3
1086,kauffmann,8
1087,douadi,3
1088,fkraut,3
1089,arfi,4
1090,rigolo,2
1091,jeanmichel,8
1092,brauman,3
1093,pasolini,2
1094,benmoha,2
1095,juppe,3
1096,sitruk,2
1097,tincq,2
1098,schoemann,3
1099,prasquier,2
1100,villepin,4
1101,dettinger,10
1102,francetvinfo,2
1103,kebbab,2
1104,bernardhenri,2
1105,lagerfeld,7
1106,justine,7
1107,bechade,4
