,Names,Values
862,prigojine,2
863,nkana,2
864,poliansky,2
865,leclerc,2
866,monomakh,3
867,menashri,2
868,perronne,2
869,flynn,2
870,lincoln,2
871,bashagha,5
872,almashri,3
873,abdelaziz,2
874,gromyko,3
